name,M,C,MX,CX,clusters
bar-n100-1,6,733,10,1843,6
bar-n100-2,5,554,11,3770,3
ber-n100-3,3,713,7,2683,4
ber-n100-4,3,494,8,2520,3
nyc-n100-4,2,535,7,1656,4
nyc-n100-5,2,671,11,3618,5
poa-n100-1,12,1589,19,3586,4
poa-n100-2,15,1539,20,4112,5
poa-n100-6,3,562,9,3045,7
poa-n100-7,5,779,12,4364,4
bar-n200-1,22,1829,32,6244,6
bar-n200-2,23,2072,36,7332,6
bar-n200-3,8,1644,26,9193,8
bar-n200-4,13,838,16,3490,6
ber-n200-5,27,3944,40,8392,7
ber-n200-6,9,3016,20,7603,7
nyc-n200-3,7,1019,16,2218,7
nyc-n200-4,4,1037,12,3712,7
poa-n200-1,25,2433,36,7058,8
poa-n200-2,13,2347,24,8929,7
bar-n400-1,32,3085,44,9355,9
ber-n600-1,47,7783,71,15691,10
nyc-n800-3,26,3871,64,10383,10
poa-n1000-1,30,8082,70,24456,10
poa-n1500-6,141,16678,182,40963,9
nyc-n2000-4,29,7198,72,22655,9
ber-n2500-3,248,18483,302,67586,7
bar-n3000-6,79,21718,189,71198,9
poa-n4000-2,513,59115,653,142582,12
poa-n5000-3,286,60628,402,169638,10
